Open,High,Low,Close,Volume,Open Time,Close Time,Crypto
4373.360357620914,4487.412108882138,4373.360357620914,4437.747885228588,471486384674.67914,2025-08-31 00:00:00,2025-09-01 00:00:00,ETH
4388.931464519364,4476.476296546988,4241.805589932651,4285.513499041529,624208540694.9805,2025-09-01 00:00:00,2025-09-02 00:00:00,ETH
4314.33684565863,4405.51496980963,4274.517146643319,4327.274249228913,763755153724.2769,2025-09-02 00:00:00,2025-09-03 00:00:00,ETH
4325.856306225941,4482.357700797971,4306.388722785641,4470.542882578564,764048064837.0105,2025-09-03 00:00:00,2025-09-04 00:00:00,ETH
4451.0636436771065,4468.186233261665,4275.769638294805,4345.2362298073795,733386204126.3816,2025-09-04 00:00:00,2025-09-05 00:00:00,ETH
4298.094660544595,4465.500324291025,4273.145826961314,4313.626874707965,806592260371.7959,2025-09-05 00:00:00,2025-09-06 00:00:00,ETH
4306.9385585791215,4322.553600075343,4256.038324531825,4277.460966535968,638104880980.747,2025-09-06 00:00:00,2025-09-07 00:00:00,ETH
4273.110024157841,4313.63548273977,4273.110024157841,4313.63548273977,349774110707.9055,2025-09-07 00:00:00,2025-09-08 00:00:00,ETH
4305.712109548157,4367.54908206563,4289.553621519912,4310.315413835551,492455197680.2243,2025-09-08 00:00:00,2025-09-09 00:00:00,ETH
4309.685702772004,4370.902388226368,4286.163927961327,4316.53872872685,697633142897.0383,2025-09-09 00:00:00,2025-09-10 00:00:00,ETH
4311.8584294636485,4415.422957361011,4286.931500673287,4347.328637138352,701738452043.2723,2025-09-10 00:00:00,2025-09-11 00:00:00,ETH
4347.482124114109,4459.15548633424,4347.482124114109,4459.15548633424,846187069620.9893,2025-09-11 00:00:00,2025-09-12 00:00:00,ETH
4459.31901599882,4703.275009608163,4459.31901599882,4703.275009608163,843101607078.6414,2025-09-12 00:00:00,2025-09-13 00:00:00,ETH
4708.841744149995,4762.7359405153,4620.425114162406,4660.7909806879115,896419659032.423,2025-09-13 00:00:00,2025-09-14 00:00:00,ETH
4669.028586485019,4686.666478079155,4582.534478690314,4630.113468968738,613867749153.6538,2025-09-14 00:00:00,2025-09-15 00:00:00,ETH
4606.740088999127,4659.525423635756,4492.196960821642,4515.331765053863,740105794699.4098,2025-09-15 00:00:00,2025-09-16 00:00:00,ETH
4522.7579691582605,4531.050144341452,4445.600869317445,4523.605591930226,709636070840.7306,2025-09-16 00:00:00,2025-09-17 00:00:00,ETH
4503.398838715683,4599.310397067619,4461.541858527294,4599.310397067619,759011235750.2057,2025-09-17 00:00:00,2025-09-18 00:00:00,ETH
4591.768794331328,4628.905424766412,4574.624208235424,4588.618925606986,994197315318.7792,2025-09-18 00:00:00,2025-09-19 00:00:00,ETH
4590.6367372135155,4610.457093522816,4443.551143115653,4470.27195537534,663967053688.454,2025-09-19 00:00:00,2025-09-20 00:00:00,ETH
4470.102748926164,4502.678815314789,4465.428051883671,4495.622713402836,517532934951.53674,2025-09-20 00:00:00,2025-09-21 00:00:00,ETH
4481.484588389632,4497.460342186307,4460.503918120189,4466.894974143133,355318343412.3867,2025-09-21 00:00:00,2025-09-22 00:00:00,ETH
4445.964686087343,4445.964686087343,4141.638736448096,4190.575982902745,945081074267.965,2025-09-22 00:00:00,2025-09-23 00:00:00,ETH
4199.951774017639,4210.182201384079,4150.023526525174,4179.40463212319,859459831446.954,2025-09-23 00:00:00,2025-09-24 00:00:00,ETH
4164.826037505126,4199.545021667644,4141.515671911744,4155.695621811463,719743790414.4899,2025-09-24 00:00:00,2025-09-25 00:00:00,ETH
4152.852648081888,4152.852648081888,3846.41458187234,3895.925502812583,1054299779082.665,2025-09-25 00:00:00,2025-09-26 00:00:00,ETH
3863.0632875907245,4045.88183705957,3863.0632875907245,4028.01275228736,1334871848361.6814,2025-09-26 00:00:00,2025-09-27 00:00:00,ETH
4037.0979210260916,4037.0979210260916,3987.7332584265587,4024.043252526493,723905304261.3925,2025-09-27 00:00:00,2025-09-28 00:00:00,ETH
4018.704458176895,4133.729865032857,3981.1677975594507,4133.729865032857,397053410439.46893,2025-09-28 00:00:00,2025-09-29 00:00:00,ETH
