"date","open","high","low","close","volume","fear_greed_value","classification"
2018-09-17,6500.08000000,6533.84000000,6201.00000000,6248.69000000,35987.2547380000,25,Extreme Fear
2018-09-18,6248.69000000,6390.00000000,6224.98000000,6336.45000000,32620.8666700000,21,Extreme Fear
2018-09-19,6336.39000000,6517.70000000,6123.00000000,6391.89000000,39044.0800820000,24,Extreme Fear
2018-09-20,6392.00000000,6540.00000000,6325.00000000,6492.00000000,25189.0247280000,24,Extreme Fear
2018-09-21,6492.00000000,6784.86000000,6491.00000000,6759.02000000,51779.3434630000,31,Fear
2018-09-22,6759.01000000,6839.03000000,6627.00000000,6723.05000000,29349.6906670000,35,Fear
2018-09-23,6723.05000000,6788.23000000,6661.75000000,6708.00000000,30286.2297730000,38,Fear
2018-09-24,6706.81000000,6730.00000000,6557.00000000,6581.39000000,35305.7399100000,43,Fear
2018-09-25,6581.42000000,6584.01000000,6325.02000000,6447.54000000,40301.0294520000,37,Fear
2018-09-26,6445.11000000,6557.99000000,6379.70000000,6465.12000000,33484.5420700000,37,Fear
2018-09-27,6467.84000000,6750.00000000,6434.00000000,6689.13000000,33087.4282970000,42,Fear
2018-09-28,6689.12000000,6814.80000000,6540.88000000,6634.58000000,42399.4485230000,42,Fear
2018-09-29,6634.58000000,6636.00000000,6464.57000000,6596.38000000,30255.9597000000,37,Fear
2018-09-30,6597.66000000,6662.00000000,6533.00000000,6626.57000000,27764.7245190000,34,Fear
2018-10-01,6626.57000000,6667.09000000,6510.00000000,6611.61000000,20621.5068940000,35,Fear
2018-10-02,6610.00000000,6640.00000000,6494.00000000,6525.79000000,28245.8100880000,33,Fear
2018-10-03,6525.79000000,6549.00000000,6430.00000000,6510.00000000,28451.9691380000,36,Fear
2018-10-04,6510.01000000,6643.46000000,6505.09000000,6593.79000000,20074.3008180000,29,Fear
2018-10-05,6591.69000000,6697.00000000,6543.08000000,6635.65000000,16096.5523920000,37,Fear
2018-10-06,6635.65000000,6651.00000000,6566.77000000,6594.27000000,10939.5053910000,34,Fear
2018-10-07,6596.44000000,6640.00000000,6525.00000000,6615.26000000,17406.8317620000,29,Fear
2018-10-08,6615.26000000,6715.60000000,6587.00000000,6673.01000000,23123.4195410000,26,Fear
2018-10-09,6673.01000000,6685.38000000,6607.00000000,6656.61000000,15354.7794690000,31,Fear
2018-10-10,6656.67000000,6659.95000000,6530.00000000,6631.00000000,15390.6614440000,28,Fear
2018-10-11,6630.21000000,6633.92000000,6205.00000000,6252.68000000,48712.4003320000,19,Extreme Fear
2018-10-12,6252.71000000,6360.00000000,6209.00000000,6298.01000000,29004.0714190000,13,Extreme Fear
2018-10-13,6298.00000000,6345.00000000,6285.07000000,6332.93000000,19098.0700250000,15,Extreme Fear
2018-10-14,6332.92000000,6416.00000000,6308.00000000,6339.34000000,15627.4113140000,18,Extreme Fear
2018-10-15,6339.34000000,7680.00000000,6300.00000000,6752.50000000,90748.0312460000,20,Extreme Fear
2018-10-16,6752.50000000,6900.00000000,6670.00000000,6759.27000000,27557.9577640000,24,Extreme Fear
2018-10-17,6762.76000000,6811.12000000,6676.01000000,6740.89000000,26641.4313790000,23,Extreme Fear
2018-10-18,6739.01000000,6796.00000000,6567.00000000,6618.96000000,20116.5219410000,26,Fear
2018-10-19,6618.96000000,6648.14000000,6523.00000000,6528.88000000,20772.6007700000,24,Extreme Fear
2018-10-20,6528.88000000,6617.65000000,6505.55000000,6588.40000000,19240.7222470000,21,Extreme Fear
2018-10-21,6585.72000000,6663.90000000,6580.00000000,6590.11000000,6515.3577920000,21,Extreme Fear
2018-10-22,6590.12000000,6639.00000000,6535.27000000,6581.20000000,16213.6926600000,27,Fear
2018-10-23,6581.20000000,6595.00000000,6515.45000000,6553.51000000,13856.6017560000,24,Extreme Fear
2018-10-24,6553.51000000,6630.00000000,6547.53000000,6565.50000000,11951.5439770000,23,Extreme Fear
2018-10-25,6566.81000000,6575.09000000,6502.80000000,6528.09000000,10342.7012440000,25,Extreme Fear
2018-10-26,6528.13000000,6600.00000000,6515.01000000,6538.63000000,9443.5041560000,29,Fear
2018-10-27,6538.63000000,6558.35000000,6463.04000000,6505.60000000,7776.9078640000,33,Fear
2018-10-28,6505.60000000,6514.17000000,6453.00000000,6489.93000000,5743.9337280000,35,Fear
2018-10-29,6489.93000000,6505.01000000,6315.00000000,6344.50000000,13827.2240670000,34,Fear
